,date,ticker,variable,value
500,2018-05-25,AAPL,open,186.1216
501,2018-05-25,AMZN,open,1603.0
502,2018-05-25,FB,open,186.02
503,2018-05-25,GOOG,open,1079.02
504,2018-05-25,NFLX,open,349.9
505,2018-05-29,AAPL,open,185.4987
506,2018-05-29,AMZN,open,1600.71
507,2018-05-29,FB,open,184.34
508,2018-05-29,GOOG,open,1064.89
509,2018-05-29,NFLX,open,351.5
510,2018-05-30,AAPL,open,185.6173
511,2018-05-30,AMZN,open,1618.1
512,2018-05-30,FB,open,186.54
513,2018-05-30,GOOG,open,1063.03
514,2018-05-30,NFLX,open,352.37
515,2018-05-31,AAPL,open,185.1229
516,2018-05-31,AMZN,open,1623.0
517,2018-05-31,FB,open,187.87
518,2018-05-31,GOOG,open,1067.56
519,2018-05-31,NFLX,open,353.8
520,2018-06-01,AAPL,open,185.8855
521,2018-06-01,AMZN,open,1637.03
522,2018-06-01,FB,open,193.065
523,2018-06-01,GOOG,open,1099.35
524,2018-06-01,NFLX,open,353.88
525,2018-06-04,AAPL,open,189.4885
526,2018-06-04,AMZN,open,1648.9
527,2018-06-04,FB,open,191.84
528,2018-06-04,GOOG,open,1122.33
529,2018-06-04,NFLX,open,362.6847
530,2018-06-05,AAPL,open,190.9025
531,2018-06-05,AMZN,open,1672.99
532,2018-06-05,FB,open,194.3
533,2018-06-05,GOOG,open,1140.99
534,2018-06-05,NFLX,open,363.32
535,2018-06-06,AAPL,open,191.4611
536,2018-06-06,AMZN,open,1704.51
537,2018-06-06,FB,open,191.0252
538,2018-06-06,GOOG,open,1142.17
539,2018-06-06,NFLX,open,367.7848
540,2018-06-07,AAPL,open,191.9654
541,2018-06-07,AMZN,open,1698.56
542,2018-06-07,FB,open,190.75
543,2018-06-07,GOOG,open,1131.32
544,2018-06-07,NFLX,open,368.54
545,2018-06-08,AAPL,open,189.0287
546,2018-06-08,AMZN,open,1681.12
547,2018-06-08,FB,open,187.53
548,2018-06-08,GOOG,open,1118.18
549,2018-06-08,NFLX,open,358.06
550,2018-06-11,AAPL,open,189.2067
551,2018-06-11,AMZN,open,1681.51
552,2018-06-11,FB,open,188.81
553,2018-06-11,GOOG,open,1118.6
554,2018-06-11,NFLX,open,361.88
555,2018-06-12,AAPL,open,189.2413
556,2018-06-12,AMZN,open,1693.0
557,2018-06-12,FB,open,192.17
558,2018-06-12,GOOG,open,1131.07
559,2018-06-12,NFLX,open,363.6
560,2018-06-13,AAPL,open,190.2647
561,2018-06-13,AMZN,open,1702.81
562,2018-06-13,FB,open,192.74
563,2018-06-13,GOOG,open,1141.12
564,2018-06-13,NFLX,open,367.53
565,2018-06-14,AAPL,open,189.4044
566,2018-06-14,AMZN,open,1713.48
567,2018-06-14,FB,open,193.1
568,2018-06-14,GOOG,open,1143.85
569,2018-06-14,NFLX,open,384.27
570,2018-06-15,AAPL,open,187.9015
571,2018-06-15,AMZN,open,1714.0
572,2018-06-15,FB,open,195.79
573,2018-06-15,GOOG,open,1148.86
574,2018-06-15,NFLX,open,390.71
575,2018-06-18,AAPL,open,185.7755
576,2018-06-18,AMZN,open,1706.26
577,2018-06-18,FB,open,194.8
578,2018-06-18,GOOG,open,1143.65
579,2018-06-18,NFLX,open,387.72
580,2018-06-19,AAPL,open,183.0662
581,2018-06-19,AMZN,open,1709.04
582,2018-06-19,FB,open,196.2352
583,2018-06-19,GOOG,open,1158.5
584,2018-06-19,NFLX,open,389.5
585,2018-06-20,AAPL,open,184.2627
586,2018-06-20,AMZN,open,1742.5
587,2018-06-20,FB,open,199.1
588,2018-06-20,GOOG,open,1175.31
589,2018-06-20,NFLX,open,415.15
590,2018-06-21,AAPL,open,185.1526
591,2018-06-21,AMZN,open,1760.0
592,2018-06-21,FB,open,202.76
593,2018-06-21,GOOG,open,1174.85
594,2018-06-21,NFLX,open,421.38
595,2018-06-22,AAPL,open,184.0352
596,2018-06-22,AMZN,open,1742.62
597,2018-06-22,FB,open,201.16
598,2018-06-22,GOOG,open,1159.14
599,2018-06-22,NFLX,open,419.98
600,2018-06-25,AAPL,open,181.3457
601,2018-06-25,AMZN,open,1702.51
602,2018-06-25,FB,open,200.0
603,2018-06-25,GOOG,open,1143.6
604,2018-06-25,NFLX,open,404.69
605,2018-06-26,AAPL,open,180.9403
606,2018-06-26,AMZN,open,1672.37
607,2018-06-26,FB,open,197.6
608,2018-06-26,GOOG,open,1128.0
609,2018-06-26,NFLX,open,393.28
610,2018-06-27,AAPL,open,183.153
611,2018-06-27,AMZN,open,1708.11
612,2018-06-27,FB,open,199.18
613,2018-06-27,GOOG,open,1121.34
614,2018-06-27,NFLX,open,407.56
615,2018-06-28,AAPL,open,182.0379
616,2018-06-28,AMZN,open,1672.54
617,2018-06-28,FB,open,195.18
618,2018-06-28,GOOG,open,1102.09
619,2018-06-28,NFLX,open,395.0
620,2018-06-29,AAPL,open,184.2033
621,2018-06-29,AMZN,open,1717.0
622,2018-06-29,FB,open,197.32
623,2018-06-29,GOOG,open,1120.0
624,2018-06-29,NFLX,open,399.19
625,2018-07-02,AAPL,open,181.761
626,2018-07-02,AMZN,open,1682.7
627,2018-07-02,FB,open,193.37
628,2018-07-02,GOOG,open,1099.0
629,2018-07-02,NFLX,open,385.45
630,2018-07-03,AAPL,open,185.6865
631,2018-07-03,AMZN,open,1723.96
632,2018-07-03,FB,open,194.55
633,2018-07-03,GOOG,open,1135.82
634,2018-07-03,NFLX,open,399.49
635,2018-07-05,AAPL,open,183.1849
636,2018-07-05,AMZN,open,1705.38
637,2018-07-05,FB,open,194.74
638,2018-07-05,GOOG,open,1110.53
639,2018-07-05,NFLX,open,393.8003
640,2018-07-06,AAPL,open,183.3431
641,2018-07-06,AMZN,open,1696.0
642,2018-07-06,FB,open,198.45
643,2018-07-06,GOOG,open,1123.58
644,2018-07-06,NFLX,open,397.45
645,2018-07-09,AAPL,open,187.3774
646,2018-07-09,AMZN,open,1724.05
647,2018-07-09,FB,open,204.93
648,2018-07-09,GOOG,open,1148.48
649,2018-07-09,NFLX,open,415.95
650,2018-07-10,AAPL,open,188.5738
651,2018-07-10,AMZN,open,1738.53
652,2018-07-10,FB,open,204.5
653,2018-07-10,GOOG,open,1156.98
654,2018-07-10,NFLX,open,417.24
655,2018-07-11,AAPL,open,186.3886
656,2018-07-11,AMZN,open,1737.99
657,2018-07-11,FB,open,202.22
658,2018-07-11,GOOG,open,1144.59
659,2018-07-11,NFLX,open,411.34
660,2018-07-12,AAPL,open,187.4071
661,2018-07-12,AMZN,open,1764.51
662,2018-07-12,FB,open,203.43
663,2018-07-12,GOOG,open,1159.89
664,2018-07-12,NFLX,open,415.1553
665,2018-07-13,AAPL,open,188.9397
666,2018-07-13,AMZN,open,1803.93
667,2018-07-13,FB,open,207.81
668,2018-07-13,GOOG,open,1185.0
669,2018-07-13,NFLX,open,409.19
670,2018-07-16,AAPL,open,189.3748
671,2018-07-16,AMZN,open,1821.95
672,2018-07-16,FB,open,207.5
673,2018-07-16,GOOG,open,1189.39
674,2018-07-16,NFLX,open,398.98
675,2018-07-17,AAPL,open,187.6246
676,2018-07-17,AMZN,open,1811.56
677,2018-07-17,FB,open,204.9
678,2018-07-17,GOOG,open,1172.22
679,2018-07-17,NFLX,open,346.95
680,2018-07-18,AAPL,open,189.6318
681,2018-07-18,AMZN,open,1848.0
682,2018-07-18,FB,open,209.82
683,2018-07-18,GOOG,open,1196.56
684,2018-07-18,NFLX,open,381.24
685,2018-07-19,AAPL,open,187.5653
686,2018-07-19,AMZN,open,1829.46
687,2018-07-19,FB,open,208.77
